ID,load,frequency,HR,FAR,Acc,Acc_bsl,K,K_bsl,K_bsl_ave,RT,RT_bsl,RT_CoV,gender,age,country,response_key,dPrime,criterion
12,7,4,0.533333333333333,0.2,0.666666666666667,-0.130434782608696,2.91666666666667,-0.322916666666667,-0.245022123893805,0.990574833333333,0.039901704081695,0.245014637708419,Male,29,Poland,j,0.925272967480043,0.378984749832893
12,5,7,0.666666666666667,0.2,0.733333333333333,-0.0434782608695653,2.91666666666667,0.0937499999999998,-0.245022123893806,1.00197766666667,0.00382068143778649,0.206861306935222,Male,29,Poland,j,1.27234853286837,0.205446967138728
12,6,7,0.6,0.133333333333333,0.733333333333333,-0.12,3.23076923076923,-0.3,-0.163716814159292,1.01692416666667,0.0510663037673769,0.202686798195843,Male,29,Poland,j,1.36411871977259,0.428712256750493
12,7,7,0.4,0.4,0.5,-0.347826086956522,0,-1,-1,1.06575566666667,0.118826257852694,0.20740372602194,Male,29,Poland,j,0,0.2533471031358
13,5,0,0.733333333333333,0.0666666666666667,0.833333333333333,0,3.57142857142857,0,-0.107306354147592,0.8749875,0,0.29288179771176,Female,26,United States,j,2.12401166925411,0.439080111416969
13,6,0,0.866666666666667,0,0.933333333333333,0,5.2,0,0.299761948361106,0.969133333333333,0,0.360343372653974,Female,26,United States,j,Inf,Inf
13,7,0,0.533333333333333,0.133333333333333,0.7,0,3.23076923076923,0,-0.192455594213514,0.973301034482759,0,0.371016323840443,Female,26,United States,j,1.19442335054391,0.513559941364828
13,5,4,0.866666666666667,0.133333333333333,0.866666666666667,0.04,4.23076923076923,0.184615384615385,0.0574986266251602,0.854948166666667,-0.0229024224155582,0.451720407605969,Female,26,United States,j,2.22154323327357,-1.11022302462516e-16
13,6,4,0.8,0.2,0.8,-0.142857142857143,4.5,-0.134615384615384,0.124793993774034,0.9410875,-0.0289390864690098,0.367098173596555,Female,26,United States,j,1.68324246714583,-5.55111512312578e-17
13,7,4,0.8,0.133333333333333,0.833333333333333,0.190476190476191,5.38461538461539,0.666666666666667,0.345907342977477,0.890527333333333,-0.0850442958723597,0.380827407853363,Female,26,United States,j,1.9523928502097,0.134575191531936
13,5,7,1,0,1,0.2,5,0.4,0.249771104193371,0.662161666666667,-0.243232998566646,0.243142285141895,Female,26,United States,j,Inf,NaN
13,6,7,0.866666666666667,0,0.933333333333333,0,5.2,0,0.299761948361106,0.751846333333333,-0.224207539382266,0.316237090196017,Female,26,United States,j,Inf,Inf
13,7,7,0.8,0.0666666666666667,0.866666666666667,0.238095238095238,5.5,0.702380952380953,0.374748214612709,0.797996333333333,-0.180113546517073,0.346181403555792,Female,26,United States,j,2.34270717961694,0.329732356235555
14,5,0,0.866666666666667,0.0666666666666667,0.9,0,4.28571428571429,2.07241631263363e-16,-0.00362318840579705,0.825666666666667,0,0.389429820713246,Male,20,Poland,j,2.61185756268081,0.19515716470362
14,6,0,0.8,0,0.9,0,4.8,0,0.115942028985507,0.809266666666667,0,0.348362670874154,Male,20,Poland,j,Inf,Inf
14,7,0,0.666666666666667,0.266666666666667,0.7,0,3.81818181818182,1.16309078770255e-16,-0.11231884057971,0.899866666666667,0,0.387873139274347,Male,20,Poland,j,1.05365302250555,0.0960992119573152
14,5,4,0.933333333333333,0.133333333333333,0.9,0,4.61538461538462,0.0769230769230771,0.0730211817168339,0.841133333333333,0.0187323375050464,0.387809262158499,Male,20,Poland,j,2.61185756268081,-0.19515716470362
14,6,4,0.733333333333333,0.2,0.766666666666667,-0.148148148148148,4,-0.166666666666667,-0.0700483091787443,0.878137931034482,0.085103300561598,0.436245373049235,Male,20,Poland,j,1.464546956783,0.109347755181413
14,7,4,0.666666666666667,0.0666666666666667,0.8,0.142857142857143,4.5,0.178571428571429,0.0461956521739129,0.9095,0.0107052896725438,0.455806389361753,Male,20,Poland,j,1.93181324533948,0.535179323374284
14,5,7,0.933333333333333,0.4,0.766666666666667,-0.148148148148148,4.44444444444444,0.0370370370370371,0.0332796564680622,0.808533333333333,-0.0207509083568835,0.284435052425006,Male,20,Poland,j,1.75443304917982,-0.623869421454113
14,6,7,0.866666666666667,0,0.933333333333333,0.037037037037037,5.2,0.0833333333333332,0.208937198067633,1.0257,0.267443776258341,0.452964984632673,Male,20,Poland,j,Inf,Inf
14,7,7,0.6,0.0666666666666667,0.766666666666667,0.0952380952380954,4,0.0476190476190478,-0.0700483091787441,0.8631,-0.0408579048747963,0.403390986537419,Male,20,Poland,j,1.75443304917982,0.623869421454113
15,5,0,0.666666666666667,0,0.833333333333333,0,3.33333333333333,0,-0.0131578947368422,0.8490555,0,0.390688042178624,Female,25,Germany,j,Inf,Inf
15,6,0,0.666666666666667,0,0.833333333333333,0,4,0,0.184210526315789,0.896524827586207,0,0.477311348779111,Female,25,Germany,j,Inf,Inf
15,7,0,0.4,0,0.7,0,2.8,0,-0.171052631578947,0.8097945,0,0.337581395332474,Female,25,Germany,j,Inf,Inf
15,5,4,0.666666666666667,0.333333333333333,0.666666666666667,-0.2,2.5,-0.25,-0.259868421052632,0.875374166666667,0.0309975810375961,0.451256953037861,Female,25,Germany,j,0.861454598590915,8.32667268468867e-17
