ID,block,trial,load,frequency,change,response,respType,RT,gender,age,country,response_key
2,3,5,5,0,0,1,CO,0.67405,Male,26,Poland,f
2,3,6,6,0,0,1,CO,0.433355,Male,26,Poland,f
2,3,7,7,0,1,0,miss,1.014985,Male,26,Poland,f
2,3,8,7,0,0,1,CO,0.64155,Male,26,Poland,f
2,3,9,6,0,0,1,CO,0.423355,Male,26,Poland,f
2,3,10,6,0,1,0,miss,0.739985,Male,26,Poland,f
2,3,11,5,0,0,1,CO,0.46373,Male,26,Poland,f
2,3,12,7,0,0,1,CO,0.453695,Male,26,Poland,f
2,3,13,7,0,1,1,Hit,0.558915,Male,26,Poland,f
2,3,14,6,0,0,1,CO,0.997475,Male,26,Poland,f
2,3,15,5,0,1,1,Hit,0.48276,Male,26,Poland,f
2,3,16,5,0,1,1,Hit,0.59808,Male,26,Poland,f
2,3,17,6,0,0,1,CO,0.58768,Male,26,Poland,f
2,3,18,7,0,1,1,Hit,0.751235,Male,26,Poland,f
2,3,19,5,0,1,0,miss,0.93271,Male,26,Poland,f
2,3,20,5,0,0,1,CO,0.51857,Male,26,Poland,f
2,3,21,7,0,1,0,miss,1.026525,Male,26,Poland,f
2,3,22,5,0,1,1,Hit,0.42747,Male,26,Poland,f
2,3,23,5,0,1,1,Hit,0.54335,Male,26,Poland,f
2,3,24,7,0,0,1,CO,0.650255,Male,26,Poland,f
2,3,25,7,0,0,1,CO,0.526735,Male,26,Poland,f
2,3,26,7,0,1,0,miss,0.726075,Male,26,Poland,f
2,3,27,6,0,1,1,Hit,0.52607,Male,26,Poland,f
2,3,28,5,0,0,1,CO,0.76009,Male,26,Poland,f
2,3,29,6,0,0,1,CO,0.66936,Male,26,Poland,f
2,3,30,7,0,0,1,CO,0.5121,Male,26,Poland,f
2,4,1,7,4,0,1,CO,0.426455,Male,26,Poland,f
2,4,2,6,4,0,1,CO,0.44155,Male,26,Poland,f
2,4,3,6,4,1,1,Hit,0.525225,Male,26,Poland,f
2,4,4,5,4,0,1,CO,0.465565,Male,26,Poland,f
2,4,5,5,4,0,1,CO,0.49572,Male,26,Poland,f
2,4,6,5,4,1,1,Hit,0.46938,Male,26,Poland,f
2,4,7,6,4,1,1,Hit,1.21584,Male,26,Poland,f
2,4,8,6,4,0,1,CO,0.93142,Male,26,Poland,f
2,4,9,6,4,1,1,Hit,0.61384,Male,26,Poland,f
2,4,10,7,4,0,1,CO,0.642575,Male,26,Poland,f
2,4,11,6,4,1,1,Hit,0.57726,Male,26,Poland,f
2,4,12,5,4,0,1,CO,0.52926,Male,26,Poland,f
2,4,13,7,4,0,1,CO,0.52666,Male,26,Poland,f
2,4,14,5,4,1,1,Hit,0.610435,Male,26,Poland,f
2,4,15,7,4,1,1,Hit,0.660025,Male,26,Poland,f
2,4,16,5,4,0,1,CO,0.4845,Male,26,Poland,f
2,4,17,7,4,1,1,Hit,0.61987,Male,26,Poland,f
2,4,18,6,4,1,1,Hit,0.502865,Male,26,Poland,f
2,4,19,6,4,0,1,CO,0.45053,Male,26,Poland,f
2,4,20,5,4,1,1,Hit,0.544,Male,26,Poland,f
2,4,21,5,4,0,1,CO,0.69974,Male,26,Poland,f
2,4,22,7,4,1,0,miss,0.60648,Male,26,Poland,f
2,4,23,7,4,0,1,CO,0.518705,Male,26,Poland,f
2,4,24,5,4,1,1,Hit,0.47076,Male,26,Poland,f
2,4,25,6,4,0,1,CO,0.55211,Male,26,Poland,f
2,4,26,7,4,1,1,Hit,0.45975,Male,26,Poland,f
2,4,27,5,4,1,1,Hit,0.512385,Male,26,Poland,f
2,4,28,7,4,0,1,CO,1.0237,Male,26,Poland,f
2,4,29,6,4,0,1,CO,0.53503,Male,26,Poland,f
2,4,30,7,4,1,0,miss,0.57834,Male,26,Poland,f
2,5,1,7,4,0,1,CO,0.82543,Male,26,Poland,f
2,5,2,5,4,0,1,CO,0.43157,Male,26,Poland,f
2,5,3,5,4,1,0,miss,0.3986,Male,26,Poland,f
2,5,4,7,4,0,1,CO,0.458165,Male,26,Poland,f
2,5,5,6,4,0,1,CO,0.39546,Male,26,Poland,f
2,5,6,7,4,0,1,CO,0.590705,Male,26,Poland,f
2,5,7,6,4,0,1,CO,0.449155,Male,26,Poland,f
2,5,8,5,4,1,1,Hit,0.53005,Male,26,Poland,f
2,5,9,6,4,1,1,Hit,0.581445,Male,26,Poland,f
2,5,10,7,4,1,1,Hit,0.584855,Male,26,Poland,f
2,5,11,6,4,1,1,Hit,0.7615,Male,26,Poland,f
2,5,12,6,4,0,1,CO,0.485875,Male,26,Poland,f
2,5,13,5,4,0,1,CO,0.46435,Male,26,Poland,f
2,5,14,6,4,1,1,Hit,0.776395,Male,26,Poland,f
2,5,15,5,4,1,1,Hit,0.5081,Male,26,Poland,f
2,5,16,7,4,0,1,CO,0.61478,Male,26,Poland,f
2,5,17,7,4,1,0,miss,0.452635,Male,26,Poland,f
