version,block,frequency,jitter,trial,change,response,RT,loads,ID,gender,hand,age,fixCrossFrameB,targetFrameB,fixCrossFrameA,targetFrameA,resp_type
ChD_entr_4,3,0,true,32,0,Timeout,NaN,5,S01,M,R,20,1,1,0,0,0
ChD_entr_4,3,0,true,33,0,Correct,0.693139078291151,5,S01,M,R,20,1,1,0,0,4
ChD_entr_4,3,0,true,34,1,Wrong,0.645009345705265,5,S01,M,R,20,1,1,0,0,2
ChD_entr_4,3,0,true,35,0,Correct,0.558383131582925,6,S01,M,R,20,1,1,0,0,4
ChD_entr_4,3,0,true,36,1,Correct,0.471753845461013,5,S01,M,R,20,1,1,0,0,1
ChD_entr_4,3,0,true,37,1,Wrong,0.529506589097758,6,S01,M,R,20,1,1,0,0,2
ChD_entr_4,3,0,true,38,0,Correct,0.558381083582983,4,S01,M,R,20,1,1,0,0,4
ChD_entr_4,3,0,true,39,1,Correct,0.568064851956968,4,S01,M,R,20,1,1,0,0,1
ChD_entr_4,3,0,true,40,0,Correct,0.654637476755411,6,S01,M,R,20,1,1,0,0,4
ChD_entr_4,3,0,true,41,0,Correct,0.876023392252272,4,S01,M,R,20,1,1,0,0,4
ChD_entr_4,3,0,true,42,1,Correct,0.645015831037543,5,S01,M,R,20,1,1,0,0,1
ChD_entr_4,4,7,false,1,0,Correct,0.943413824271013,5,S01,M,R,20,15,8,0,7,4
ChD_entr_4,4,7,false,2,0,Correct,0.529522973095021,4,S01,M,R,20,1,9,14,6,4
ChD_entr_4,4,7,false,3,1,Wrong,1.21290694435781,6,S01,M,R,20,15,8,0,7,2
ChD_entr_4,4,7,false,4,0,Correct,0.866392871869277,4,S01,M,R,20,3,11,12,4,4
ChD_entr_4,4,7,false,5,1,Correct,0.616135192553174,5,S01,M,R,20,12,5,3,10,1
ChD_entr_4,4,7,false,6,1,Wrong,0.673886570856928,6,S01,M,R,20,2,10,13,5,2
ChD_entr_4,4,7,false,7,0,Correct,1.08778151803235,4,S01,M,R,20,1,9,14,6,4
ChD_entr_4,4,7,false,8,1,Correct,0.616132803220325,4,S01,M,R,20,2,10,13,5,1
ChD_entr_4,4,7,false,9,1,Correct,0.645011735038114,5,S01,M,R,20,7,15,8,0,1
ChD_entr_4,4,7,false,10,0,Correct,0.491005670228513,5,S01,M,R,20,9,2,6,13,4
ChD_entr_4,4,7,false,11,0,Wrong,0.548757048532494,6,S01,M,R,20,12,5,3,10,3
ChD_entr_4,4,7,false,12,1,Wrong,1.2996154197996,6,S01,M,R,20,9,2,6,13,2
ChD_entr_4,4,7,false,13,0,Correct,0.654636794088915,6,S01,M,R,20,3,11,12,4,4
ChD_entr_4,4,7,false,14,1,Correct,0.72201596210968,6,S01,M,R,20,4,12,11,3,1
ChD_entr_4,4,7,false,15,0,Correct,0.683513336574082,6,S01,M,R,20,13,6,2,9,4
ChD_entr_4,4,7,false,16,1,Wrong,0.673887936190147,5,S01,M,R,20,11,4,4,11,2
ChD_entr_4,4,7,false,17,1,Correct,0.683514360573939,5,S01,M,R,20,10,3,5,12,1
ChD_entr_4,4,7,false,18,0,Correct,1.12628107156837,6,S01,M,R,20,8,1,7,14,4
ChD_entr_4,4,7,false,19,0,Correct,0.558382448916202,5,S01,M,R,20,5,13,10,2,4
ChD_entr_4,4,7,false,20,0,Correct,0.616135192553174,6,S01,M,R,20,1,9,14,6,4
ChD_entr_4,4,7,false,21,1,Wrong,0.471753845460786,5,S01,M,R,20,6,14,9,1,2
ChD_entr_4,4,7,false,22,1,Wrong,0.673888960189777,5,S01,M,R,20,11,4,4,11,2
ChD_entr_4,4,7,false,23,0,Correct,0.70276482000822,6,S01,M,R,20,10,3,5,12,4
ChD_entr_4,4,7,false,24,1,Correct,0.529507271764481,4,S01,M,R,20,6,14,9,1,1
ChD_entr_4,4,7,false,25,1,Wrong,0.673886912190289,4,S01,M,R,20,5,13,10,2,2
ChD_entr_4,4,7,false,26,1,Wrong,0.933769991890327,5,S01,M,R,20,4,12,11,3,2
ChD_entr_4,4,7,false,27,0,Correct,0.423638107539314,4,S01,M,R,20,6,14,9,1,4
ChD_entr_4,4,7,false,28,0,Correct,0.519880847380461,4,S01,M,R,20,1,9,14,6,4
ChD_entr_4,4,7,false,29,1,Correct,0.693141808957362,4,S01,M,R,20,1,9,14,6,1
ChD_entr_4,4,7,false,30,0,Correct,0.856770884818048,6,S01,M,R,20,13,6,2,9,4
ChD_entr_4,4,7,false,31,1,Correct,0.596882002452455,4,S01,M,R,20,8,1,7,14,1
ChD_entr_4,4,7,false,32,0,Correct,0.529505906431262,5,S01,M,R,20,15,8,0,7,4
ChD_entr_4,4,7,false,33,1,Correct,0.577631884351081,4,S01,M,R,20,14,7,1,8,1
ChD_entr_4,4,7,false,34,0,Wrong,0.779768023079929,4,S01,M,R,20,8,1,7,14,3
ChD_entr_4,4,7,false,35,1,Wrong,0.558382448916429,6,S01,M,R,20,11,4,4,11,2
ChD_entr_4,4,7,false,36,0,Correct,0.548756365865771,5,S01,M,R,20,7,15,8,0,4
ChD_entr_4,4,7,false,37,0,Correct,0.51025612966325,5,S01,M,R,20,4,12,11,3,4
ChD_entr_4,4,7,false,38,1,Correct,0.789389668797796,4,S01,M,R,20,5,13,10,2,1
