ID,Load,frequency,HR,FAR,Acc,RT,K,gender,dPrime,criterion,Acc_bsl,K_bsl,K_bsl_ave,HR_bsl,FAR_bsl,rP_mean_raw,rP_mean,rP_trial_var,rP_mean_bsl,rP_trial_CoV,rP_mean_bslSub_del,rP_trial_var_del,rP_trial_CoV_del,rP_mean_bslSub_del_raw
S04,5,0,0.571428571428571,0.125,0.733333333333333,0.853225480800058,2.55102040816327,M,1.33036175016871,0.485168505291652,0,0,-0.280646415687854,-0.13375796178344,-0.309734513274336,3.30268855630485,-0.170093427618952,0.825530476287859,0,-5.34169420657117,-0.215511996412491,0.536395306504638,-3.39837292081657,-0.0398649023029753
S04,6,0,0.764705882352941,0.230769230769231,0.766666666666667,0.808491009383058,4.16470588235294,M,1.45783820135847,0.00739681669689324,0,0,0.174391272797975,0.159235668789809,0.274336283185841,3.16321241204044,-0.334436819663792,0.709203089471723,0,-2.51808986223342,-0.327437800092149,0.683557312602321,-2.52498413107609,-0.0585497184564658
S04,7,0,0.642857142857143,0.1875,0.733333333333333,0.888104115026403,3.92307692307692,M,1.25325291581945,0.260520101109153,0,0,0.106255142889879,-0.0254777070063693,0.0353982300884954,3.30085978545687,-0.179979869919336,0.870555496350293,0,-5.18411106480689,0.0535031827275195,0.350902792216713,11.0716868680972,0.00989689292399504
S04,5,4,0.615384615384615,0.235294117647059,0.666666666666667,0.858780346275957,2.48520710059172,M,1.01490351610354,0.214070525930575,-0.0909090909090909,-0.0257988165680472,-0.29920488685709,-0.067123958843704,0.299323269130661,3.38063336822822,0.251280790231514,0.441072747130566,0.421374217850465,2.64299184498336,0.0499635537855753,0.481907606634304,13.8940407924682,0.0092421406860296
S04,6,4,0.583333333333333,0.0555555555555556,0.8,1.02371761078854,3.35294117647059,M,1.80364721227098,0.691395211887563,0.0434782608695652,-0.194915254237288,-0.0545155007134945,-0.115711252653928,-0.693215339233038,3.1667289612316,0.317724054650407,0.892113198840579,0.652160874314199,2.97276025687136,-0.0699907946679495,0.306933698185699,-7.91555483103008,-0.012083617101565
S04,7,4,0.8,0.2,0.8,1.06819103113338,5.25,M,1.68324246714583,-5.55111512312578e-17,0.0909090909090911,0.338235294117647,0.480429676514397,0.212738853503185,0.104424778761062,3.42439364885882,0.48785143000375,0.627811195939426,0.667831299923086,1.62415302681321,0.0588519905626408,0.70393081706688,14.2562017429742,0.0108863028191936
S04,5,7,0.571428571428571,0.1875,0.7,0.945101545066734,2.36263736263736,M,1.06715892881158,0.353567094613086,-0.0454545454545454,-0.0738461538461538,-0.333767911144751,-0.13375796178344,0.0353982300884954,3.21003520892721,-0.0725815279400128,0.383746404151209,0.0975118996789391,-8.53485314941889,-0.142548169710937,0.455649239265695,-4.7353673929427,-0.0254892843792349
S04,6,7,0.5,0.1875,0.633333333333333,0.844009296143018,2.30769230769231,M,0.887146559018876,0.443573279509438,-0.173913043478261,-0.445893089960886,-0.349261680653012,-0.24203821656051,0.0353982300884954,3.23162326346708,0.0481491138659427,1.17087409099123,0.382585933529735,22.4732974093542,-0.0283237785792019,0.531207795946706,-25.7324435897869,-0.00506462375745514
S04,7,7,0.647058823529412,0.230769230769231,0.7,0.814163493266684,3.78823529411765,M,1.11370786120468,0.179461986773788,-0.0454545454545454,-0.0343713956170702,0.0682316097201924,-0.019108280254777,0.274336283185841,3.3078053063785,-0.142431977074393,0.630685348276693,0.0375478928449436,-5.57569319133717,-0.140542926821566,0.767296351446755,-6.23264761256473,-0.0259973001057086
S05,5,0,0.866666666666667,0.0666666666666667,0.9,0.709171855635665,4.28571428571429,F,2.61185756268081,0.19515716470362,0,0,-0.0528233151183969,0.11971289412971,0.448275862068965,3.05566226713694,-0.258564880354175,0.602305811689071,0,-3.0015044424517,0.125893913344653,0.464600750158817,5.41421153484757,0.0371548086216202
